t,ego_x,ego_y,ego_z,ego_speed,ego_vx,ego_vy,lead_x,lead_y,lead_z,dist_lead,behavior
0.05,-52.15072250366211,34.47709274291992,10.18801212310791,0.013526189514294452,0.01352485828101635,-0.00018976631690748036,-22.183679580688477,34.59292221069336,10.638368606567383,29.967266775816388,1
0.1,-52.15003204345703,34.47709274291992,10.132922172546387,0.0058508877037358,0.005849541164934635,-0.00012551924737636,-22.18313980102539,34.592926025390625,10.608268737792969,29.967116111144854,1
0.15000000000000002,-52.14959716796875,34.477081298828125,10.107769012451172,0.002003975747099374,0.0020021081436425447,-8.649726078147069e-05,-22.182924270629883,34.592926025390625,10.596488952636719,29.966896811928596,1
0.2,-52.14942932128906,34.477081298828125,10.097891807556152,0.00021213074893792894,0.0001992528123082593,-7.278579141711816e-05,-22.18287467956543,34.592926025390625,10.593570709228516,29.966778557196978,1
0.25,-52.14938735961914,34.477081298828125,10.095415115356445,0.0005498364466855534,-0.0005453008343465626,-7.047778490232304e-05,-22.182897567749023,34.592926025390625,10.59455680847168,29.966713707828028,1
0.3,-52.1494026184082,34.477081298828125,10.096202850341797,0.0007727864597732417,-0.0007686929311603308,-7.943607488414273e-05,-22.182941436767578,34.592926025390625,10.596944808959961,29.966685097812316,1
0.35,-52.149436950683594,34.477081298828125,10.098169326782227,0.0007599731760004818,-0.0007564489496871829,-7.310413639061153e-05,-22.182992935180664,34.592926025390625,10.599556922912598,29.96666793180289,1
0.39999999999999997,-52.14948654174805,34.477081298828125,10.100329399108887,0.0006567335456961497,-0.0006527783116325736,-7.196822843980044e-05,-22.183034896850586,34.592926025390625,10.601895332336426,29.966675561140413,1
0.44999999999999996,-52.14951705932617,34.477081298828125,10.102266311645508,0.39794967189708713,0.39776426553726196,-0.012146210297942162,-22.18307113647461,34.592926025390625,10.603800773620605,29.96666983913727,1
0.49999999999999994,-52.14281463623047,34.47694396972656,10.103910446166992,1.246651761960251,1.241292953491211,-0.11546609550714493,-22.17921257019043,34.59291458129883,10.605295181274414,29.963826490532668,1
