t,ego_x,ego_y,ego_z,ego_speed,ego_vx,ego_vy,lead_x,lead_y,lead_z,dist_lead,behavior
0.05,181.2694091796875,-374.9576110839844,0.09420011192560196,6.636637394744501e-06,-4.1782814719226735e-07,-6.623471563216299e-06,199.27542114257812,-374.821044921875,0.4461000859737396,18.00652984681928,0
0.1,181.2694091796875,-374.9576110839844,0.01573018915951252,9.593253314488251e-07,-1.228391681706853e-07,-9.51428205553384e-07,199.27542114257812,-374.821044921875,0.3823999762535095,18.00652984681928,0
0.15000000000000002,181.2694091796875,-374.9576110839844,-0.0174196045845747,4.340462319403615e-07,-2.9443405935580813e-08,-4.3304643781993946e-07,199.27542114257812,-374.821044921875,0.29419997334480286,18.00652984681928,0
0.2,181.2694091796875,-374.9576110839844,-0.02785787545144558,1.0175778521069442e-07,7.940172075393548e-09,1.0144752593532758e-07,199.27542114257812,-374.821044921875,0.18149997293949127,18.00652984681928,0
0.25,181.2694091796875,-374.9576110839844,-0.027883358299732208,2.3789750038145948e-07,3.893648070629752e-09,2.37865634744594e-07,199.27542114257812,-374.821044921875,0.04615585133433342,18.00652984681928,0
0.3,181.2694091796875,-374.9576110839844,-0.023794688284397125,7.709961811030705e-08,2.8713373012578813e-08,7.155342984788149e-08,199.27542114257812,-374.821044921875,-0.03762119263410568,18.00652984681928,0
0.35,181.2694091796875,-374.9576110839844,-0.01864885352551937,2.0548491248398133e-07,3.004904414183329e-08,2.03275931198732e-07,199.27542114257812,-374.821044921875,-0.06704650819301605,18.00652984681928,0
0.39999999999999997,181.2694091796875,-374.9576110839844,-0.013799152337014675,1.5235748558175078e-07,-2.8002000718174713e-09,1.5233175076900807e-07,199.27542114257812,-374.821044921875,-0.07093595713376999,18.00652984681928,0
0.44999999999999996,181.2694091796875,-374.9576110839844,-0.009738749824464321,4.419504139197236e-07,-2.143005994881264e-09,-4.419452181991801e-07,199.27542114257812,-374.821044921875,-0.06420562416315079,18.00652984681928,0
0.49999999999999994,181.2694091796875,-374.9576110839844,-0.006552905775606632,0.7143775265374208,0.7143526077270508,0.0059667625464499,199.27542114257812,-374.821044921875,-0.05421615391969681,18.00652984681928,0
0.5499999999999999,181.28964233398438,-374.9574279785156,-0.00427804933860898,1.537477289869262,1.537424087524414,0.012790307402610779,199.27542114257812,-374.821044921875,-0.04432513937354088,17.986295885751424,0
0.6,181.35256958007812,-374.9568786621094,-0.0027409170288592577,2.095023001112393,2.0949509143829346,0.017379341647028923,199.27923583984375,-374.821044921875,-0.035887908190488815,17.927180871347435,0
0.65,181.4472198486328,-374.9560852050781,-0.0016359901055693626,2.490730665670558,2.4906444549560547,0.020723124966025352,199.3006591796875,-374.82086181640625,-0.02928726188838482,17.853951420133704,0
